,,,,,,,"  46,901 ",  659.20 ,,,"  688,810 ","  138,240 ","  72,476 ","  17,000 ",,"  916,526 ",,,,,
Bill Date,Dispatch Date,Delay,INVOICE NO,E-Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,,,
16/Apr/26,16/Apr/26,0,TX271030000098,362231271140,AMAR SHIV SHAKTI TRADERS,SAMANA,450,  5.88 ,PB10HC3852,9,"  6,500 ","  1,500 ",  -   ,,17444,NEW SODHI,,RECD,,,
16/Apr/26,16/Apr/26,0,TX271030000102,322231271854,AMAR SHIV SHAKTI TRADERS,SAMANA,225,  3.81 ,PB10HC3852,,,,,,,NEW SODHI,,,,,
16/Apr/26,17/Apr/26,1,TX271030000099,332232108963,AVENUE SUPERMARTS LTD,ZIRAKPUR,95,  2.19 ,PB10JP8564,3,"  3,600 ",  -   ,  355 ,,23626,NEW SODHI,,RECD,,,
16/Apr/26,17/Apr/26,1,TX271030000100,312231872964,RALLA RAM DEV RAJ,DINA NAGAR,100,  1.30 ,PB10FV3689,6,"  6,100 ","  2,400 ",  -   ,,17445,NEW SODHI,,RECD,,,
16/Apr/26,17/Apr/26,1,TX271030000104,342231874860,RALLA RAM DEV RAJ,DINA NAGAR,650,  5.46 ,,,,,,,,NEW SODHI,,,,,
16/Apr/26,17/Apr/26,1,TX271030000101,352232111714,SAI ENTERPRISES,RAMPURA,85,  1.45 ,PB10H9095,6,"  4,400 ","  1,100 ",  -   ,,17448,NEW SODHI,,RECD,,,
16/Apr/26,17/Apr/26,1,TX271030000103,302232113054,SAI ENTERPRISES,RAMPURA,300,  4.50 ,,,,,,,,NEW SODHI,,,,,
16/Apr/26,16/Apr/26,0,ST271030000004,312231079945,JAMMU CFA,JAMMU,520,  8.81 ,JK08F9173,9,"  19,000 ",  -   ,  -   ,,17443,NEW SODHI,,RECD,,,
16/Apr/26,16/Apr/26,0,ST271030000005,302231465240,PARWANOO CFA,PARWANOO,517,  7.33 ,HR69B9549,9,"  11,000 ",  -   ,  -   ,,17447,NEW SODHI,,RECD,,,
16/Apr/26,17/Apr/26,1,TX271030000106,392232110515,HOLY SMOKE RESTAURANTS PRIVATE LIMITED,CHANDIGARH,71,  0.89 ,PB65BD4498,1,"  2,900 ",  -   ,  355 ,,23625,NEW SODHI,,RECD,,,
17/Apr/26,18/Apr/26,1,TX271030000108,322233002562,AVENUE SUPERMARTS LIMITED,GOBINDGARH,34,  0.61 , PB10CZ1968,1,"  2,300 ",  500 ,  410 ,,23629,NEW SODHI,Club With LR 23628,RECD,,,
18/Apr/26,18/Apr/26,0,TX271030000114,352233001849,AVENUE SUPERMARTS LIMITED,PATIALA,38,  0.46 ,,,,,,,23628,NEW SODHI,Club With LR 23629,RECD,,,
18/Apr/26,20/Apr/26,,TX271030000109,312233838584,BHARAT BHUSHAN & SONS,MOGA,26,  0.39 , PB10FV3689,3,"  2,400 ",  200 ,  -   ,,17449,NEW SODHI,,RECD,,,
18/Apr/26,20/Apr/26,,TX271030000116,322233837807,BHARAT BHUSHAN & SONS,MOGA,83,  1.41 ,,,,,,,,NEW SODHI,,,,,
18/Apr/26,20/Apr/26,,TX271030000117,382233835812,BHARAT BHUSHAN & SONS,MOGA,6,  0.95 ,,,,,,,,NEW SODHI,,,,,
20/Apr/26,20/Apr/26,,TX271030000123,372233839501,BHARAT BHUSHAN & SONS,MOGA,65,  0.98 ,,,,,,,,NEW SODHI,,,,,
18/Apr/26,20/Apr/26,,TX271030000110,362233819654,RELIANCE RETAIL LIMITED,SHAMBHU,570,  5.75 , PB10HC-3852,6,"  4,300 ","  2,700 ","  2,850 ","  1,500 ",23633,NEW SODHI,All Stock KGMO & 1 Days Dentions,RECD,1 day detaintions,,1500
18/Apr/26,20/Apr/26,,TX271030000111,302233818567,AVENUE SUPERMARTS LTD,ZIRAKPUR,216,  2.17 , PB10GY7337,3,"  3,600 ",  -   ,"  1,080 ",,23634,NEW SODHI,,RECD,,,
18/Apr/26,20/Apr/26,2,TX271030000112,362233541942,AVENUE SUPERMARTS LTD,LUDHIANA,51,  0.80 , PB02BV9960,3,"  1,350 ",  650 ,  305 ,,23630,NEW SODHI,Club With LR 23631,RECD,,,
